type,text,method
div,"ADDING PRODUCTS For every artisan that joins the community, Anou creates a customized tool that enables to post product to Anou and create comprehensive product pages 
  -- all with clicks on a language free interface demonstrated on the right.",bs4
div,"All orders ship directly from the artisan that made the product. The means your shipment can come from the coast of the atlantic, snow capped peaks of the Atlas, or the deserts of the Anti-Atlas. 
      Despite the distance and geographic challenges, shipments are insured so you can simply just enjoy the journey.",bs4
div,"All orders ship directly from the artisan that made the product. The means your shipment can come from the coast of the atlantic, snow capped peaks of the Atlas, or the deserts of the Anti-Atlas. 
      Despite the distance and geographic challenges, shipments are insured so you can simply just enjoy the journey.",bs4
div,"QUALITY GUARANTEE Artisans ship your orders to Anou's artisan run store, where artisan leaders inspect every shipment to make sure it meets our standards. Artisan leaders
    use a proprietary app that enables them to record the results of Anou's six point quality control process and inform the customer.",bs4
div,"QUALITY GUARANTEE Artisans ship your orders to Anou's artisan run store, where artisan leaders inspect every shipment to make sure it meets our standards. Artisan leaders
    use a proprietary app that enables them to record the results of Anou's six point quality control process and inform the customer.",bs4
div,"QUALITY GUARANTEE Artisans ship your orders to Anou's artisan run store, where artisan leaders inspect every shipment to make sure it meets our standards. Artisan leaders
    use a proprietary app that enables them to record the results of Anou's six point quality control process and inform the customer.",bs4
div,"QUALITY GUARANTEE Artisans ship your orders to Anou's artisan run store, where artisan leaders inspect every shipment to make sure it meets our standards. Artisan leaders
    use a proprietary app that enables them to record the results of Anou's six point quality control process and inform the customer.",bs4
div,"Kenza is a weaver and the president of Association Tithrite . Kenza has flown all around the world to speak about Anou and the change
        the artisan community is seeking to create.",bs4
div,"Kenza is a weaver and the president of Association Tithrite . Kenza has flown all around the world to speak about Anou and the change
        the artisan community is seeking to create.",bs4
div,"Kenza is a weaver and the president of Association Tithrite . Kenza has flown all around the world to speak about Anou and the change
        the artisan community is seeking to create.",bs4
div,"The Cooperative About Sustainability Retail Partnerships Jobs Donate Connect Newsletter Blog Instagram Facebook Hello@theanou.com Experiences Artisan Experiences Fez Store Fez Workshops صانعة تقليدي(ة) انضم إلينا Your Preferences Your Saved Favorites Select Shipping/Currency Select Shipping/Currency United States Afghanistan Aland Islands Albania Algeria American Samoa Andorra Angola Anguilla Antarctica Argentina Armenia Aruba Australia Austria Azerbaijan Bahamas Bahrain Bangladesh Barbados Belarus Belgium Belize Benin Bermuda Bhutan Bolivia Botswana Bouvet Island Brazil Brunei Darussalam Bulgaria Burkina Faso Burundi Cambodia Cameroon Canada Cape Verde Cayman Islands Chad Chile China Christmas Island Cocos (Keeling) Islands Colombia Comoros Congo Cook Islands Costa Rica Cote D'Ivoire Croatia Cuba Curacao Cyprus Czech Republic Denmark Djibouti Dominica Dominican Republic Ecuador Egypt El Salvador Equatorial Guinea Eritrea Estonia Ethiopia Faroe Islands Fiji Finland France French Guiana French Polynesia Gabon Gambia Georgia Germany Ghana Gibraltar Greece Greenland Grenada Guadeloupe Guam Guatemala Guernsey Guinea Guinea-Bissau Guyana Haiti Honduras Hong Kong Hungary Iceland India Indonesia Iran, Islamic Republic of Iraq Ireland Isle of Man Italy Jamaica Japan Jersey Jordan Kazakhstan Kenya Kiribati South Korea Kosovo Kuwait Kyrgyzstan Latvia Lebanon Lesotho Liberia Liechtenstein Lithuania Luxembourg Macao Madagascar Malawi Malaysia Maldives Mali Malta Marshall Islands Martinique Mauritania Mauritius Mayotte Mexico Monaco Mongolia Montenegro Montserrat Morocco Mozambique Myanmar Namibia Nauru Nepal Netherlands New Zealand Nicaragua Niger Nigeria Niue Norway Oman Pakistan Palau Panama Paraguay Peru Philippines Pitcairn Poland Portugal Puerto Rico Qatar Reunion Romania Russian Federation Samoa San Marino Sao Tome and Principe Saudi Arabia Senegal Serbia Seychelles Sierra Leone Singapore Sint Maarten Slovakia Slovenia Solomon Islands Somalia South Africa South Sudan Spain Sri Lanka Sudan Suriname Svalbard and Jan Mayen Swaziland Sweden Switzerland Tajikistan Thailand Timor-Leste Togo Tokelau Tonga Trinidad and Tobago Tunisia Turkey Turkmenistan Tuvalu Uganda Ukraine United Arab Emirates United Kingdom Uruguay Uzbekistan Vanuatu Venezuela ©2023 The Anou Cooperative | Owned and Managed by Morocco's Artisan Community × Stay Updated! Keep up with Anou artisans and join their adventures to transform Moroccan craft, sign up for our newsletter here: Subscribe!",bs4
